codigo,grupo,carrera,facultad,duracion,ubicacion,privada/publica,titulo,turnos,modalidades,link a pag principal
Arquitectura_UADE,arquitectura&diseño,Arquitectura,UADE,5 años,CABA,privada,Arquitecto,-,presencial,https://www.uade.edu.ar/facultad-de-arquitectura-y-diseno/arquitectura/
Arquitectura_UBA,arquitectura&diseño,Arquitectura,UBA,5 años,CABA,publica,Arquitecto,mañana - tarde - noche,presencial,https://www.fadu.uba.ar/categoria/49-arquitectura
Arquitectura_UP,arquitectura&diseño,Arquitectura,UP,5 años,CABA,privada,Arquitecto,-,presencial,https://www.palermo.edu/carreras/arquitectura/
Arquitectura_BELGRANO,arquitectura&diseño,Arquitectura,UB,5 años,CABA,privada,Arquitecto,-,presencial,https://ub.edu.ar/facultad-de-arquitectura-y-urbanismo/arquitectura
